dZ (in.),Camber (deg),Roll Center Height (in.)
-3.0,5.622503464557432,10.128540005724197
-2.95,5.529343817691309,10.040868916137798
-2.9,5.435909273998192,9.954054965328368
-2.85,5.342195944349045,9.868090417085234
-2.8,5.248199921446511,9.782967827855506
-2.75,5.1539172790302175,9.69868004027489
-2.7,5.059344071084175,9.615220176976079
-2.65,4.964476331045449,9.532581634663481
-2.6,4.86931007101357,9.450758078443627
-2.55,4.773841280961298,9.36974343640108
-2.5,4.678065927944252,9.28953189441031
-2.45,4.581979955311002,9.2101178911743
-2.4,4.485579281912081,9.131496113481242
-2.35,4.388859801307673,9.053661491671033
-2.3,4.2918173809736,8.976609195303682
-2.25,4.194447861505583,8.900334629022206
-2.2,4.096747055820274,8.824833428602767
-2.15,3.9987107483542608,8.750101457185435
-2.1,3.900334694259055,8.676134801678943
-2.05,3.8016146185927666,8.602929769333373
-2.0,3.7025462155074806,8.53048288447488
-1.95,3.6031251474323835,8.458790885396859
-1.9,3.5033470442517722,8.387850721402197
-1.8499999999999999,3.403207502477787,8.317659549991559
-1.7999999999999998,3.302702084418036,8.248214734192794
-1.75,3.201826317336289,8.179513840026871
-1.7,3.100575692607609,8.111554634105895
-1.65,2.9989456648662487,8.044335081358936
-1.5999999999999999,2.8969316511464127,7.977853342881704
-1.5499999999999998,2.7945290300157946,7.912107773906125
-1.5,2.691733140700766,7.84709692188613
-1.45,2.58853928220339,7.782819524696161
-1.4,2.4849427124101866,7.719274508938978
-1.3499999999999999,2.3809386471910585,7.656460988359457
-1.2999999999999998,2.276522259489337,7.594378262361401
-1.25,2.1716886784017193,7.533025814624214
-1.2,2.066432988248352,7.4724033118167315
-1.15,1.9607502276315385,7.412510602405322
-1.0999999999999999,1.8546353884842088,7.353347715553713
-1.0499999999999998,1.7480834151066396,7.2949148601119305
-1.0,1.6410892031912567,7.237212423691953
-0.9499999999999997,1.5336475988351719,7.1802409718276925
-0.8999999999999999,1.4257533975404555,7.124001247217053
-0.8500000000000001,1.3174013432011256,7.068494169043829
-0.7999999999999998,1.208586127076189,7.0137208323773885
-0.75,1.0993023867497471,6.959682507648047
-0.6999999999999997,0.9895447050758376,6.906380640196131
-0.6499999999999999,0.8793076091091986,6.8538168498928735
-0.5999999999999996,0.7685855690202094,6.8019929308311715
-0.5499999999999998,0.657372996994429,6.750910851084517
-0.5,0.5456642461163169,6.700572752532161
-0.44999999999999973,0.43345360923580356,6.65098095074897
-0.3999999999999999,0.32073531781789744,6.602137934958101
-0.34999999999999964,0.20750354077533983,6.554046368045002
-0.2999999999999998,0.09375238328214774,6.506709086630987
-0.25,-0.020524114430258922,6.460129101204855
-0.19999999999999973,-0.13533197829690224,6.4143095963109715
-0.1499999999999999,-0.2506773016619813,6.369253930792241
-0.09999999999999964,-0.36656624654220027,6.324965638086431
-0.04999999999999982,-0.4830050449102255,6.281448426574352
0.0,-0.6,6.238706179978316
0.050000000000000266,-0.7175574876329142,6.19674295780944
0.10000000000000009,-0.8356839575670677,6.155562995862216
0.15000000000000036,-0.954385934868928,6.115170706754835
0.20000000000000018,-1.0736700213086983,6.0755706805138106
0.25,-1.1935428967796557,6.036767685201302
0.30000000000000027,-1.3140113207422133,5.998766667583594
0.3500000000000001,-1.4350821336931454,5.961572753839234
0.40000000000000036,-1.5567622586612346,5.925191250305175
0.4500000000000002,-1.6790587027290331,5.88962764425936
0.5,-1.8019785585822032,5.854887604738067
0.5500000000000003,-1.9255290060867547,5.820976983386417
0.6000000000000001,-2.049717313895155,5.787901815340236
0.6500000000000004,-2.1745508410815257,5.75566832013763
0.7000000000000002,-2.3000370388073375,5.7242829026584
0.75,-2.426183452017759,5.6937521540894656
0.8000000000000003,-2.552997721169798,5.664082852914467
0.8500000000000001,-2.6804875839930618,5.635281965925469
0.9000000000000004,-2.8086608772835118,5.607356649254882
0.9500000000000002,-2.9375255387314594,5.580314249425372
1.0,-3.067089608784587,5.554162304415742
1.0499999999999998,-3.1973612325468026,5.528908544740433
1.1000000000000005,-3.328348661713633,5.5045608945403774
1.1500000000000004,-3.460060256545581,5.481127472682786
1.2000000000000002,-3.592504487879787,5.4586165938673785
1.25,-3.7256899391812737,5.437036769736416
1.2999999999999998,-3.8596253086348313,5.416396709985898
1.3500000000000005,-3.9943194112784983,5.396705323474998
1.4000000000000004,-4.129781181179164,5.377971719330967
1.4500000000000002,-4.266019673652472,5.360205208046275
1.5,-4.403044067526866,5.343415302564919
1.5499999999999998,-4.5408636674539276,5.327611719354558
1.6000000000000005,-4.679487906265349,5.312804379460981
1.6500000000000004,-4.8189263473782615,5.299003409541308
1.7000000000000002,-4.95918868725004,5.286219142872203
1.75,-5.100284757883323,5.2744621203290745
1.8000000000000007,-5.242224529383542,5.26374309133227
1.8500000000000005,-5.385018112569049,5.254073014755895
1.9000000000000004,-5.528675761636208,5.245463059794847
1.9500000000000002,-5.673207876880255,5.237924606785356
2.0,-5.818625007473417,5.231469247974203
2.0500000000000007,-5.964937854302235,5.22610878823155
2.1000000000000005,-6.11215727286446,5.221855245701997
2.1500000000000004,-6.260294276228502,5.218720852388497
2.2,-6.409360038056106,5.216718054663166
2.25,-6.5593658956896315,5.215859513699169
2.3000000000000007,-6.710323353306707,5.2161581058172795
2.3500000000000005,-6.862244085142811,5.217626922740609
2.4000000000000004,-7.015139938784377,5.220279271750719
2.45,-7.169022938533689,5.224128675738014
2.5,-7.32390528884766,5.229188873138924
2.5500000000000007,-7.4797993778525225,5.2354738177523155
2.6000000000000005,-7.636717780936238,5.24299767842699
2.6500000000000004,-7.794673264420794,5.2517748386119445
2.7,-7.953678789315945,5.2618198957606985
2.75,-8.113747515157693,5.273147660580652
2.8000000000000007,-8.2748928039326,5.285773156118037
2.8500000000000005,-8.437128224090287,5.29971161666865
2.9000000000000004,-8.600467554647874,5.314978486504264
2.95,-8.764924789386223,5.3315894184040875
3.0,-8.930514141143457,5.3495602719803
